name,country_raw,country_normalized,region_raw,region_normalized,city_raw,city_normalized,review_reasons
Mainspring Energy,Estados Unidos,Estados Unidos,CA,S/D,Menlo Park,Menlo Park,"region_removed_or_unresolved, city_looks_like_address"
SPAN,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Nitricity,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Arevon Energy,Estados Unidos,Estados Unidos,AZ,S/D,Scottsdale,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Deep Isolation,Estados Unidos,Estados Unidos,CA,S/D,Berkeley,Berkeley,region_removed_or_unresolved
Electra,Estados Unidos,Estados Unidos,CO,S/D,Boulder,Boulder,region_removed_or_unresolved
Moleaer,Estados Unidos,Estados Unidos,CA,S/D,Torrance,Torrance,region_removed_or_unresolved
Bidgely,Estados Unidos,Estados Unidos,CA,S/D,Los Altos,los Altos,region_removed_or_unresolved
Form Energy,Estados Unidos,Estados Unidos,WV,S/D,Weirton,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Mosaic Solar Finance,Estados Unidos,Estados Unidos,CA,S/D,Oakland,Oakland,region_removed_or_unresolved
EDP Asia Pacific,Portugal,Portugal,Asia,S/D,Lisboa,Lisboa,region_removed_or_unresolved
NX-Tech,Corea del Sur,Corea del Sur,S/D,S/D,Corea del Sur,S/D,city_removed_or_unresolved
BEP Korea,Corea del Sur,Corea del Sur,S/D,S/D,Corea del Sur,S/D,city_removed_or_unresolved
Cortexia,Suiza,Suiza,S/D,S/D,Suiza,S/D,city_removed_or_unresolved
SolarMonkey,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
New Cleo,Reino Unido,Reino Unido,Turín,S/D,Londres,Londres,region_removed_or_unresolved
Ohmium,Estados Unidos,Estados Unidos,Fremont,S/D,Bangalore,Bangalore,region_removed_or_unresolved
PosiGen,Estados Unidos,Estados Unidos,LA,S/D,New Orleans,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Gridmatic,Estados Unidos,Estados Unidos,CA,S/D,Campbell,Campbell,region_removed_or_unresolved
NACO Technologies,Dinamarca,Dinamarca,S/D,S/D,Dinamarca,S/D,city_removed_or_unresolved
Glean,Estados Unidos,Estados Unidos,CA,S/D,Palo Alto,Palo Alto,region_removed_or_unresolved
Elise AI,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Cursor / Anysphere,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Cognition AI (Devin),Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Databricks,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Harvey AI,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Spring Health,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
You.com,Estados Unidos,Estados Unidos,CA,S/D,Palo Alto,Palo Alto,region_removed_or_unresolved
MarqVision,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Character.ai,Estados Unidos,Estados Unidos,CA,S/D,Menlo Park,Menlo Park,"region_removed_or_unresolved, city_looks_like_address"
Clay,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Sierra AI,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Apollo.io,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Vast Data,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Exa AI,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Distyl AI,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Ambience Healthcare,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Cyera,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Keychain,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Motive (GoMotive),Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Trust & Will,Estados Unidos,Estados Unidos,CA,S/D,San Diego,San Diego,region_removed_or_unresolved
Juniper Square,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Justoken,Argentina / Brasil,S/D,S/D,S/D,Buenos Aires,Buenos Aires,"country_lost_during_normalization, country_contains_multiple_values"
Fyo,Argentina,Argentina,Rosario,S/D,Santa Fe,Santa Fe,region_removed_or_unresolved
Michroma,Argentina,Argentina,Chile,S/D,Argentina,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Nectras,Argentina,Argentina,S/D,S/D,Argentina,S/D,city_removed_or_unresolved
Einsted Bio,S/D,S/D,sin contacto,S/D,Sitio no accesible,Sitio No Accesible,region_removed_or_unresolved
Fertec,Argentina,Argentina,Argentina,S/D,Córdoba,Córdoba,region_removed_or_unresolved
Genganar,Argentina,Argentina,Río Cuarto,S/D,Córdoba,Córdoba,region_removed_or_unresolved
Maqtec,Argentina,Argentina,Venado Tuerto,S/D,Santa Fé,Santa Fé,region_removed_or_unresolved
Thrive Agritech,Estados Unidos,Estados Unidos,CA,S/D,Los Angeles,los Angeles,region_removed_or_unresolved
Shinkei Systems,Estados Unidos,Estados Unidos,CA,S/D,Alameda,Alameda,region_removed_or_unresolved
Instacrops,Estados Unidos,Estados Unidos,CA,S/D,El Segundo,El Segundo,region_removed_or_unresolved
Beanstalk,Estados Unidos,Estados Unidos,PA,S/D,Pittsburgh,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Thrive Agric,India,India,India,S/D,Hyderabad,Hyderabad,region_removed_or_unresolved
Tule,Nigeria,Nigeria,Nigeria,S/D,Abuja,Abuja,region_removed_or_unresolved
FarmLogs,Estados Unidos,Estados Unidos,CA,S/D,Davis,Davis,region_removed_or_unresolved
Neomatix,Israel,Israel,Tel Aviv,S/D,26 HaBarzel,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Tufin,Israel,Israel,Ramat Gan,S/D,5 Shoham,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Sookooroo,Israel,Israel,Even Yehudah,S/D,Haasmaut,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Oktopost,Israel,Israel,Ramat Gan,S/D,Tuval 34,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Collabrium,Israel,Israel,Herzeliya,S/D,6 Maskit,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
StockCG,Israel,Israel,holon,S/D,36 kdoshy kahir,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
applicaster,Israel,Israel,Tel Aviv,S/D,103 Allenby,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
WSC Sports Technologies,Israel,Israel,Ramat Gan,S/D,Menachem Begin Road 20,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Sevenpop,Israel,Israel,Tel Aviv,S/D,14 Nahmani,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Personyze,Israel,Israel,Tel Aviv,S/D,13 Noah Mozes,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
TOPRO,Israel,Israel,Tel Aviv,S/D,Yosef Yekuti'eli 6,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Asocs,Israel,Israel,Rosh Haayin,S/D,21 Hamelacha St,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
BidFlyer,Israel,Israel,Tel Aviv,S/D,70 King George,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Singular,Israel,Israel,Tel Aviv,S/D,Rothschild Boulevard 3,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
CymbIoT,Israel,Israel,תל אביב יפו,S/D,שביל המרץ 2,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Homeppl,Israel,Israel,Tel Aviv,S/D,Ahad Ha'Am St 54,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
HIRO Media,Israel,Israel,Tel Aviv,S/D,11 Sderot Rothschild,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
NetApp,Israel,Israel,Ehad Ha'am,S/D,Shalom Tower,Shalom Tower,"region_removed_or_unresolved, region_looks_like_address"
walkme,Israel,Israel,S/D,S/D,walter moses 1 tel aviv,S/D,"city_removed_or_unresolved, city_looks_like_address"
Coachr,Israel,Israel,Kfar saba,S/D,10 Moran,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
getStatus,Israel,Israel,Tel Aviv,S/D,Aluf Kalman Magen St 3,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Lean On,Israel,Israel,Bene Beraq,S/D,HaRav Levin Marisha St 7,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Live Cam Therapy,Israel,Israel,Modiin,S/D,43 sara imenu,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Tapingo,Israel,Israel,Tel Aviv,S/D,28 Yosef Karo,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
PerimeterX,Israel,Israel,Hagag Towers,S/D,Osvaldo Aranha St 29,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
O'Daddy,Israel,Israel,Tel Aviv,S/D,Dubnov Street 7,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Objectifiers,Israel,Israel,Tel Aviv,S/D,68 Einstein,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
NLT SPINE,Israel,Israel,Kfar Saba,S/D,6 Yad Harutzim,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
2key,Israel,Israel,Tel Aviv,S/D,Yosef Karo Street,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Digital Trowel,Israel,Israel,Lod,S/D,4 HaMelacha,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
2Track,Israel,Israel,Tel aviv,S/D,242 Ben Yehuda,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Talent Tribe,Israel,Israel,Herzliya,S/D,Arieh Shenkar Street,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Hybrid Security,Israel,Israel,Tel Aviv,S/D,200 Dizengof,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
CureFacts,Israel,Israel,58,S/D,Mohiliver Street 1,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, region_looks_like_address, city_looks_like_address"
Sesame Enable,Israel,Israel,Caesarea,S/D,HaEshel St,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Planet of the Apps,Israel,Israel,Neve Ilan,S/D,Planet of the Apps,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
affiliaXe,Israel,Israel,Tel Aviv,S/D,90 Begin road,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Radgreen,Israel,Israel,Israel,S/D,Kiryat Ono,Kiryat Ono,region_removed_or_unresolved
RideOn,Israel,Israel,Tel Aviv,S/D,13 Shoken,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Kitchenbug,Israel,Israel,Tel Aviv,S/D,5 Yokneam,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Sayollo LTD,Israel,Israel,Bergman,S/D,Oppenheimer,Oppenheimer,region_removed_or_unresolved
Onset Technology,Israel,Israel,Ramot Hashavim,S/D,19 Halimon,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
TownTouch,Israel,Israel,Israel,S/D,Herev Leet,Herev Leet,region_removed_or_unresolved
ITAnalyzer,Israel,Israel,Nes Ziona,S/D,5 Golda Meir,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Medigus,Israel,Israel,Omer,S/D,1 Alumot,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
SHOWee,Israel,Israel,Tel Aviv,S/D,60 pinsker,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
SMBIG,Israel,Israel,Harzaliya,S/D,27 Maskit,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
NoCamels Israeli Innovation News,Israel,Israel,Herzliya,S/D,IDC Herzliya,Idc Herzliya,region_removed_or_unresolved
Compass-EOS,Israel,Israel,Netanya,S/D,5 Hamelacha,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
CrowdSource Technologies,Israel,Israel,Mazkeret Batya,S/D,Eshel 17,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
KERNELiOS - Cyber Knowledge Center,Israel,Israel,Rishon LeTsiyon,S/D,Yosef Lishanski Boulevard 27,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Virtuality New Space,Israel,Israel,Israel,S/D,Jerusalem,Jerusalem,region_removed_or_unresolved
Sets,Israel,Israel,Ramat Hasharon,S/D,3 Ehud,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
2Tangos,Israel,Israel,Tel Aviv,S/D,1 Graets,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
10beats,Israel,Israel,Tel Aviv,S/D,Haogen,Haogen,region_removed_or_unresolved
Lending Express,Israel,Israel,Tel Aviv,S/D,Ein Ganim St 8,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Coin Commerce,Israel,Israel,Tel Aviv,S/D,31 Bilu St.,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
CoolaData,Israel,Israel,Tel Aviv,S/D,12 Haumanim,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
SimilarGroup,Israel,Israel,Tel Aviv,S/D,23 Menachem Begin,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
TriviaFix,Israel,Israel,Beit Shemesh,S/D,24 Hayasmin b,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
SkySaver,Israel,Israel,Jerusalem,S/D,1 HaMarpe,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
SENSE,Israel,Israel,Tel Aviv,S/D,Rival 7,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
BetterBill,Israel,Israel,Herzliya,S/D,WeWork,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
MySkills,Israel,Israel,jerusalem,S/D,24 Hebron rd,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Timenote,Israel,Israel,Tel Aviv,S/D,Retsif Herbert Samuel St,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Evento,Israel,Israel,Ramat Yishai,S/D,Simtat HaBrosh,Simtat Habrosh,region_removed_or_unresolved
NowTecc,Israel,Israel,Israel Institute of Technology,S/D,Technion,Technion,region_removed_or_unresolved
Webydo,Israel,Israel,Tel Aviv,S/D,7 Rival St.,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
boOola,Israel,Israel,Tel Aviv,S/D,16 Brenner,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Aaron High-Tech,Israel,Israel,Maale Adumim,S/D,34 Hasheminit,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Merchico,Israel,Israel,Herzliya,S/D,Arieh Shenkar Street 1,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Triapodi,Israel,Israel,Herzliya,S/D,9 HaMenofim,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
ForNova,Israel,Israel,Yokneam Ilit,S/D,7 HaKidma St,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Smore,Israel,Israel,Tel Aviv,S/D,45 Rothschild Blvd,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
WeTicket,Israel,Israel,Eshtaol,S/D,270 Nachal Tzofit,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Shoppimon,Israel,Israel,Tel Aviv,S/D,Rothschild Boulevard 22,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Heyoya,Israel,Israel,Hertzelia,S/D,7 Mitzpe Yam,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
L7 Defense,Israel,Israel,באר שבע,S/D,HaEnergia 77,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
BillGuard,Israel,Israel,Tel Aviv,S/D,32 Rothschild Blvd.,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Panorama Software,Israel,Israel,Tel Aviv,S/D,4 Raoul Wallenberg,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Namogoo,Israel,Israel,Raänana,S/D,HaSadna St 7,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
Top Image Systems,Israel,Israel,Israel,S/D,Ramat Gan,Ramat Gan,region_removed_or_unresolved
CharacTell,Israel,Israel,Tel Aviv,S/D,213 Bney Efrayim,S/D,"region_removed_or_unresolved, city_removed_or_unresolved, city_looks_like_address"
